Pairs,IBS
CML264_CML503,0.9848
CML267_CML14,0.8652
CML268_A6,0.8654
CML269_CML450,0.9035
CML27_CML287,0.8897
CML270_CML36,0.8596
CML271_CML9,0.9235
CML273_CML274,0.966
CML274_CML273,0.966
CML277_CML339,0.8788
CML28_CML31,0.8618
CML281_CML274,0.8867
CML282_CML289,0.862
CML283_CML25,0.9073
CML285_CML20,0.9234
CML287_CML19,0.9102
CML288_CML289,0.8702
CML289_CML20,0.888
CML29_CML27,0.8699
CML295_CML304,0.9931
CML297_CML308,0.9664
CML298_CML303,0.8842
CML299_CML300,0.9915
CML3_CML9,0.8732
CML300_CML299,0.9915
CML303_CML297,0.9563
CML304_CML295,0.9931
CML305_CML308,0.938
CML308_CML297,0.9664
CML309_CML258,0.975
CML31_CML28,0.8618
CML310_CML277,0.8756
CML311_CML176,0.9959
CML312_CML381,0.8667
CML313_CML381,0.8988
CML314_CML9,0.8734
CML315_CML378,0.8625
CML316_CML322,0.888
CML317_CML318,0.9837
CML318_CML317,0.9837
CML319_CML394,0.9851
CML32_CML295,0.8647
CML320_CML313,0.8681
CML321_CML483,0.887
CML322_CML332,0.8947
CML323_CML324,0.8755
CML324_CML323,0.8755
CML325_CML486,0.8686
CML326_CML324,0.8749
CML327_B73,0.8625
CML328_B73,0.8589
CML329_B73,0.8616
CML33_CML303,0.8923
CML330_CML121,0.8825
CML331_CML332,0.965
CML332_CML331,0.965
CML333_CML334,0.8825
CML334_CML333,0.8825
CML335_CML331,0.8916
CML336_CML337,0.97
CML337_CML336,0.97
CML338_Mp706,0.8829
CML339_CML277,0.8788
CML340_CML343,0.9103
CML341_CML342,0.9913
CML342_CML341,0.9913
CML343_CML340,0.9103
CML344_CML10,0.8686
CML345_Ki3,0.879
CML346_Mp705,0.8732
CML347_CML33,0.8627
CML348_CML347,0.8613
CML357_CML434,0.8677
CML358_CML359,0.9421
CML359_CML434,0.9441
CML36_CML449,0.8866
CML360_CML438,0.9843
CML361_A6,0.8602
CML362_CML363,0.989
CML363_CML362,0.989
CML365_CML366,0.9283
